lat,lon,eventDate,year,minimumDepthInMeters,maximumDepthInMeters,depth,scientificName,basisOfRecord,depth_m,eventDate_parsed
10.0,93.0,1847-07-02T12:00:00Z,,,,,Sardinella longiceps,HumanObservation,,1847-07-02 12:00:00+00:00
8.66,76.56,2010-06-14,,0.0,50.0,25.0,Sardinella longiceps,PreservedSpecimen,0.0,2010-06-14 00:00:00
8.47,76.49,2009-05-30/2009-06-14,,,100.0,100.0,Sardinella longiceps,HumanObservation,100.0,2009-05-30 20:09:00-14:00
11.7167,79.8167,2009/2010,,,,,Sardinella longiceps,HumanObservation,,
9.4984,76.14273333,2013-07-14/2013-08-11,,33.0,33.0,33.0,Sardinella longiceps,HumanObservation,33.0,2013-07-14 20:13:00-11:00
13.87516667,74.38733333,2013-07-14/2013-08-11,,32.0,32.0,32.0,Sardinella longiceps,HumanObservation,32.0,2013-07-14 20:13:00-11:00
8.47,76.8,2009-05-30/2009-06-14,,,30.0,30.0,Sardinella longiceps,HumanObservation,30.0,2009-05-30 20:09:00-14:00
10.81,75.58,2009-08-07,,0.0,50.0,25.0,Sardinella longiceps,PreservedSpecimen,0.0,2009-08-07 00:00:00
11.99,75.06,2009-09-28,,0.0,30.0,15.0,Sardinella longiceps,PreservedSpecimen,0.0,2009-09-28 00:00:00
8.44,76.1,2009-06-01,,0.0,1000.0,500.0,Sardinella longiceps,PreservedSpecimen,0.0,2009-06-01 00:00:00
11.49722222,79.77166667,2007-09-04/2008-06-08,,,,,Sardinella longiceps,HumanObservation,,2007-09-04 20:08:00-08:00
8.43,76.35,2009-06-01,,0.0,500.0,250.0,Sardinella longiceps,PreservedSpecimen,0.0,2009-06-01 00:00:00
9.0,76.3,2009-08-04/2009-08-20,,,50.0,50.0,Sardinella longiceps,HumanObservation,50.0,2009-08-04 20:09:00-20:00
9.93,76.0,2009-08-08,,0.0,30.0,15.0,Sardinella longiceps,PreservedSpecimen,0.0,2009-08-08 00:00:00
6.01,81.16,1847,,,,,Sardinella longiceps,HumanObservation,,1847-09-10 00:00:00
-6.329722,106.3322,1847,,,,,Sardinella longiceps,HumanObservation,,1847-09-10 00:00:00
12.85,74.67,2009-10-01,,0.0,30.0,15.0,Sardinella longiceps,PreservedSpecimen,0.0,2009-10-01 00:00:00
15.2482,73.70238333,2013-07-14/2013-08-11,,32.0,32.0,32.0,Sardinella longiceps,HumanObservation,32.0,2013-07-14 20:13:00-11:00
12.98,74.47,2009-10-01,,0.0,50.0,25.0,Sardinella longiceps,PreservedSpecimen,0.0,2009-10-01 00:00:00
